full_jibun_addr,station,distance_km
부산광역시 토성동5가 18-1,토성,0.3707715199498753
부산광역시 토성동5가 37-1,자갈치,0.39241052145196686
부산광역시 토성동5가 37-1,토성,0.4190553956760589
부산광역시 토성동5가 46-1,자갈치,0.4709865967289326
부산광역시 토성동5가 46-1,토성,0.4335124094474472
부산광역시 동대신동3가 340-18,동대신,0.40188818395563475
부산광역시 서대신동2가 78,동대신,0.1301400151342403
부산광역시 서대신동2가 78,서대신,0.3896493552436263
부산광역시 동대신동3가 355-1,동대신,0.39369870643186344
부산광역시 서대신동1가 122-3,동대신,0.24107515273411
부산광역시 서대신동1가 122-3,서대신,0.43186087023541186
부산광역시 토성동5가 18-3,자갈치,0.4014858846394691
부산광역시 토성동5가 18-3,토성,0.39162123456651327
부산광역시 동대신동1가 218-1,동대신,0.17719888306066062
부산광역시 토성동2가 7-4,토성,0.20732401021629865
부산광역시 서대신동2가 394-8,서대신,0.15712628140328472
부산광역시 서대신동2가 77,동대신,0.11891736607737056
부산광역시 서대신동2가 77,서대신,0.403020951628107
부산광역시 서대신동2가 213-1,동대신,0.3969834641199943
부산광역시 서대신동2가 213-1,서대신,0.13201484277837755
부산광역시 토성동3가 15-5,토성,0.1494405091783889
부산광역시 서대신동1가 52-17,동대신,0.1431364156763949
부산광역시 서대신동1가 139,동대신,0.26250154274109894
부산광역시 서대신동1가 139,서대신,0.366460786812658
부산광역시 서대신동2가 52,동대신,0.1277447554993627
부산광역시 서대신동2가 52,서대신,0.4045754500819761
부산광역시 서대신동2가 195,동대신,0.3049916509325506
부산광역시 서대신동2가 195,서대신,0.2685843038014843
부산광역시 서대신동2가 45-2,동대신,0.16273786407240326
부산광역시 서대신동2가 45-2,서대신,0.371538199876038
부산광역시 서대신동3가 387-9,동대신,0.338570143656804
부산광역시 서대신동3가 387-9,서대신,0.3965922560097378
부산광역시 서대신동1가 50-6,동대신,0.202065221371832
부산광역시 서대신동1가 112-1,동대신,0.221752045075047
부산광역시 서대신동1가 112-1,서대신,0.46001410228745576
부산광역시 서대신동2가 79,동대신,0.14307116792284086
